Area Code,Area,Year,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",Coefficient of human inequality,Difference from HDI value (%),Expected Years of Schooling (years),"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",Gender Development Index (value),Gender Inequality Index (value),"Gross National Income Per Capita, female (2017 PPP$)","Gross National Income Per Capita, male (2017 PPP$)",Gross National Income Per Capita (2017 PPP$),Human Development Index (value),HDI female,HDI male,Inequality-adjusted Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,Life Expectancy at Birth (years),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)",Overall loss (%),Material footprint per capita (tonnes),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),"Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)",Planetary pressures–adjusted Human Development Index (value),"Population, total (millions)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)"
276,Sudan,2017,88.583,36.344367,2.692307692,8.155348435,7.889805987,8.417436615,0.867,0.561,2234.312668,6625.388306,4429.395996,0.52,0.475916338,0.548654636,0.329,42.45021,39.33727,27.245621,65.445,68.018,62.957,27.85,67.36,36.73076923,6.3972,289.641381,3.72,3.266,4.17,0.506,40.679828,31.04166667,68.95833333,15.26,19.56
276,Sudan,2018,85.721,36.16859633,2.307692308,8.269198002,8.017828848,8.518180057,0.866,0.561,2043.329106,6192.362372,4117.220703,0.52,0.474984569,0.548381883,0.33,42.45021,39.33727,26.718309,65.681,68.233,63.208,27.41,67.76,36.53846154,5.7522,292.9918655,3.77,3.344,4.19,0.508,41.999059,31.04166667,68.95833333,15.84,19.84
276,Sudan,2019,84.673,36.015158,1.919385797,8.384636922,8.147929054,8.62012924,0.866,0.561,1941.411807,5938.82162,3939.3396,0.521,0.475729863,0.549106092,0.331,42.45021,39.33727,26.257994,65.876,68.388,63.432,26.96,67.27,36.46833013,4.5511,297.9860404,3.82,3.422,4.21,0.511,43.232093,31.04166667,68.95833333,16.42,20.12
276,Sudan,2020,82.208,35.76123267,1.930501931,8.501687381,8.280140314,8.723298593,0.868,0.552,1809.529347,5509.215266,3658.472412,0.518,0.474198084,0.54610866,0.331,42.45021,39.33727,25.496218,65.614,68.208,63.106,27.39,68.04,36.1003861,4.6103,270.3553499,3.87,3.5,4.23,0.508,44.440486,31.04166667,68.95833333,17.0,20.4
276,Sudan,2021,79.908,35.59174033,1.937984496,8.501687381,8.280140314,8.723298593,0.869,0.55,1769.300169,5340.931259,3554.029785,0.516,0.471830104,0.543239371,0.33,42.45021,39.33727,24.987741,65.267,67.879,62.741,28.04,69.07,36.04651163,4.6683,270.3553499,3.87,3.5,4.23,0.506,45.6572015,31.04166667,68.95833333,17.0,20.4
207,Suriname,2017,60.866,,,11.00592518,11.47820543,10.55064166,0.987,0.424,11191.78141,20426.77471,15805.43905,0.71,0.703418932,0.712590529,,19.02641,,12.244239,72.417,75.703,69.231,44.15,65.29,,,99.23461671,8.265467405,8.335410936,8.182472433,,0.5875595,25.49019608,74.50980392,48.00695419,45.73576164
207,Suriname,2018,58.077,,,10.99421883,11.44315915,10.56039379,0.99,0.417,11867.6712,21486.14213,16668.53506,0.714,0.707928633,0.715294536,,18.36769,,11.942571,72.553,75.937,69.285,43.32,63.6,,,97.62668482,8.306050301,8.408180237,8.188929558,,0.5937145,25.49019608,74.50980392,45.46498871,42.28636169
207,Suriname,2019,56.966,,,10.98251247,11.40811288,10.57014591,0.991,0.406,11235.12742,20271.48783,15742.5635,0.71,0.704674632,0.711337176,,18.36769,,11.669944,72.242,75.68,68.944,42.83,62.7,,,100.0364618,8.347238928,8.482901064,8.195402001,,0.6003005,31.37254902,68.62745098,45.46498871,42.28636169
207,Suriname,2020,56.028,,,10.97080612,11.3730666,10.57989803,0.99,0.406,9194.438352,16543.01873,12858.11237,0.702,0.696461153,0.703800278,,18.36769,,11.382493,72.561,75.981,69.264,42.51,62.07,,,96.45954135,8.388631804,8.558285912,8.20187956,,0.607065,29.41176471,70.58823529,45.46498871,42.28636169
207,Suriname,2021,56.137,,,10.95909977,11.33802032,10.58965015,0.987,0.406,8722.446349,15665.70757,12181.55782,0.689,0.68270525,0.691983969,,18.36769,,10.985054,70.274,73.551,67.207,42.3,61.69,,,96.45954135,8.388631804,8.558285912,8.20187956,,0.6129845,29.41176471,70.58823529,45.46498871,42.28636169
210,Sweden,2017,4.316,7.067511667,11.47715197,18.86420059,19.91831017,17.86141014,0.979,0.034,44563.31607,61114.59069,52868.77901,0.941,0.92986477,0.94942401,0.873,3.79199,14.5522,2.858345,82.438,84.114,80.728,70.22,75.15,7.226354942,24.4373,4.512488274,12.48604965,12.61744022,12.35186005,0.833,10.05819,43.5530086,56.4469914,90.81018829,91.32935333
210,Sweden,2018,4.066,7.2456264,11.98303287,18.89518929,20.06899071,17.77835083,0.981,0.03,45146.64099,61554.52441,53389.10183,0.943,0.932091037,0.9498438,0.873,3.68585,15.32252,2.7285092,82.533,84.257,80.79,70.64,75.24,7.423117709,26.1058,4.534764563,12.54788494,12.69282532,12.40007496,0.83,10.162298,46.13180516,53.86819484,91.30929565,91.77702713
210,Sweden,2019,3.432,7.187675033,11.6156283,18.52235985,19.78601074,17.32242966,0.986,0.023,46062.92165,62723.72751,54441.03776,0.947,0.936340511,0.949661501,0.877,3.65498,15.23712,2.6709251,83.052,84.731,81.347,71.04,75.6,7.391763464,25.2449,4.529161175,12.60972023,12.76821041,12.44828987,0.837,10.2679215,47.27793696,52.72206304,91.80840302,92.22470093
210,Sweden,2020,3.325,6.783613367,11.33474576,18.65209007,20.07490921,17.30953026,0.987,0.023,44624.59288,61652.80413,53195.4576,0.944,0.933364072,0.945537083,0.878,3.502,14.05326,2.7955801,82.427,84.285,80.597,70.39,76.09,6.991525424,25.3198,4.507839264,12.67372015,12.84683271,12.49767169,0.837,10.3689695,46.99140401,53.00859599,92.36278933,92.70197297
210,Sweden,2021,3.345,7.0895982,11.90727081,19.03676987,20.65983009,17.5142498,0.986,0.023,46875.54139,64806.69105,55907.86789,0.949,0.939012002,0.952384473,0.88,3.43873,15.21994,2.6101246,82.983,84.91,81.078,63.25,70.07,7.27081138,26.848,4.507839264,12.67372015,12.84683271,12.49767169,0.836,10.467097,46.99140401,53.00859599,92.36278933,92.70197297
211,Switzerland,2017,2.557,7.4909543,14.86910995,16.16839981,16.15349007,16.18490028,0.968,0.034,54694.38588,80021.77652,67250.54069,0.955,0.936489099,0.967779942,0.881,1.9112,17.15166,3.4100029,83.412,85.35,81.365,62.61,74.47,7.748691099,33.5992,6.144131951,13.73318529,13.29716492,14.18846989,0.813,8.451687,29.26829268,70.73170732,96.5544281,97.44011307
211,Switzerland,2018,2.403,7.363196967,14.5245559,16.25905037,16.24295998,16.27742004,0.967,0.032,54859.19688,79647.76439,67150.70241,0.957,0.938689199,0.970481735,0.884,1.82879,16.93218,3.3286209,83.561,85.365,81.641,62.91,74.24,7.62800418,32.9763,7.434867581,13.79969025,13.39235973,14.2237196,0.818,8.514434,29.26829268,70.73170732,96.66664886,97.52102661
211,Switzerland,2019,2.185,7.445027233,13.95833333,16.3445797,16.34181976,16.35108948,0.969,0.018,55444.97012,79813.02137,67530.73814,0.96,0.942195413,0.972772164,0.886,1.92055,17.19962,3.2149117,83.78,85.56,81.897,62.98,73.65,7.708333333,31.436,7.104538186,13.85966015,13.48301029,14.24829006,0.826,8.5755885,38.61788618,61.38211382,96.8586731,97.53341675
211,Switzerland,2020,2.194,7.805064167,14.94252874,16.43366051,16.46332932,16.4090004,0.971,0.018,54274.57678,78445.03725,66266.62948,0.957,0.940662187,0.969006571,0.879,2.01457,17.959,3.4416225,83.067,85.078,80.996,62.51,73.39,8.150470219,34.9022,7.378754713,13.90406622,13.5494734,14.2685357,0.814,8.638613,38.61788618,61.38211382,96.93972611,97.5174373
211,Switzerland,2021,2.212,7.594116367,15.02590674,16.5837307,16.67786026,16.49819946,0.973,0.017,56295.30754,80985.63755,68550.38092,0.965,0.948631923,0.974924993,0.889,2.00997,17.66895,3.1034291,83.987,85.896,81.995,62.23,72.68,7.875647668,34.8143,7.378754713,13.90406622,13.5494734,14.2685357,0.82,8.6914065,39.83739837,60.16260163,96.93972611,97.5174373
