Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Brunei Darussalam,2021,4.641,11.51502663,0.824,14.9179,12.12374,7.5034399,0.82,1.26,6.34,,60127.0,,5.0,,
Bulgaria,2017,3.78,12.82118557,0.81,6.32881,26.33557,5.7991767,2.47,4.04,0.12,2.67,21470.0,42.0,9.0,3.8,10.6
Bulgaria,2018,3.876,12.29027207,0.811,6.09875,25.22533,5.5467362,2.4,3.38,0.11,2.7,22206.2,42.0,9.0,3.1,8.6
Bulgaria,2019,4.036,12.50645223,0.813,6.20973,25.91953,5.3900967,2.37,3.24,0.13,2.82,23266.1,39.0,9.0,2.8,8.1
Bulgaria,2020,4.129,12.12168853,0.802,5.93179,25.21216,5.2211156,2.17,3.49,0.13,2.92,22479.6,26.0,10.0,2.7,5.8
Bulgaria,2021,4.151,11.92820757,0.796,5.85819,24.74605,5.1803827,1.85,4.37,0.18,2.75,24393.8,14.0,10.0,2.5,4.2
Myanmar,2017,3.706,22.548411,0.58,26.85272,17.556,23.236513,5.09,23.0,0.19,50.96,4312.9,18.0,22.0,3.4,71.0
Myanmar,2018,3.786,22.32483867,0.595,26.85272,17.556,22.565796,5.02,21.35,0.18,56.25,4556.3,11.0,20.0,3.1,66.6
Myanmar,2019,3.861,22.169799,0.608,26.85272,17.556,22.100677,2.94,20.92,0.19,58.55,4829.5,19.0,15.0,3.0,63.3
Myanmar,2020,3.925,21.96199667,0.615,26.85272,17.556,21.47727,3.37,22.67,0.19,53.04,4947.1,20.0,13.0,2.9,62.3
Myanmar,2021,4.206,21.87718833,0.599,26.85272,17.556,21.222845,,25.48,0.18,39.94,4032.6,23.0,12.0,3.4,73.8
Burundi,2017,2.988,35.785465,0.422,39.48821,39.51852,28.349665,3.39,37.4,0.06,32.85,750.8,,70.0,,95.8
Burundi,2018,2.804,35.58537,0.421,39.48821,39.51852,27.74938,3.2,35.35,0.06,36.54,740.4,,74.0,,95.0
Burundi,2019,2.783,35.335892,0.423,39.48821,39.51852,27.000946,3.12,34.13,0.06,37.07,729.7,,74.0,,95.0
Burundi,2020,2.943,35.060935,0.419,39.48821,39.51852,26.176075,2.96,33.87,0.06,36.6,711.4,,73.0,,95.7
Burundi,2021,3.138,34.87104967,0.419,39.48821,39.51852,25.606419,3.17,33.92,0.06,36.76,705.0,,77.0,,95.9
Cameroon,2017,2.616,39.061838,0.574,32.95967,52.85953,31.366314,3.03,16.69,0.06,74.24,3691.1,70.0,25.0,5.0,59.2
Cameroon,2018,2.684,38.402093,0.581,31.71699,52.85953,30.629759,3.08,16.5,0.06,80.27,3732.5,62.0,25.0,5.6,58.8
Cameroon,2019,2.744,38.19038367,0.586,31.71699,52.85953,29.994631,2.83,16.8,0.06,80.15,3756.5,28.0,25.0,5.9,58.7
Cameroon,2020,2.808,37.90599533,0.585,31.71699,52.85953,29.141466,4.73,17.38,0.06,78.66,3665.5,37.0,26.0,5.8,59.8
Cameroon,2021,2.997,37.686745,0.581,31.71699,52.85953,28.483715,4.43,17.2,0.07,83.93,3700.5,47.0,28.0,5.6,60.5
Canada,2017,2.863,8.146148233,0.929,2.52058,17.51309,4.4047747,0.99,1.89,0.29,12.75,48317.2,30.0,7.0,2.5,0.7
Canada,2018,2.911,7.851001233,0.93,2.31069,16.75185,4.4904637,1.08,1.7,0.26,13.81,48962.5,27.0,7.0,2.5,0.7
Canada,2019,2.927,7.536452333,0.932,2.31216,15.98202,4.315177,1.17,1.82,0.27,14.09,49171.5,27.0,7.0,2.5,0.7
Canada,2020,3.017,7.504313967,0.928,2.31216,15.98202,4.2187619,0.86,1.8,0.24,14.0,46064.3,28.0,7.0,2.5,0.7
Canada,2021,3.065,7.4669231,0.934,2.31216,15.98202,4.1065893,1.52,1.78,0.25,14.67,47892.9,25.0,7.0,2.5,0.4
Cabo Verde,2017,3.358,27.716062,0.668,27.3887,45.38292,10.376566,2.35,6.74,0.14,96.53,6320.3,12.0,,21.7,44.5
Cabo Verde,2018,3.413,27.573817,0.664,27.3887,45.38292,9.949831,2.95,5.29,0.11,101.17,6534.5,7.0,,20.9,42.2
Cabo Verde,2019,3.484,27.42363937,0.667,27.3887,45.38292,9.4992981,2.32,4.63,0.1,104.0,6835.1,27.0,365.0,19.8,39.7
