Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Republic of Moldova,2020,2.814,8.454456933,0.765,2.6847,13.70438,8.9742908,2.9,8.69,2.52,2.81,12201.8,10.0,23.0,2.5,7.0
Republic of Moldova,2021,2.998,8.373700733,0.767,2.6847,13.55132,8.8850822,2.71,10.39,3.43,2.9,14009.2,39.0,24.0,2.5,3.8
Namibia,2017,3.255,33.31498367,0.634,25.01567,52.99237,21.936911,2.65,7.68,0.07,182.06,10335.3,22.0,18.0,19.3,55.4
Namibia,2018,3.3,33.237078,0.635,25.01567,52.99237,21.703194,1.99,7.77,0.07,188.01,10266.2,18.0,16.0,18.9,55.2
Namibia,2019,3.378,33.069715,0.638,25.01567,52.99237,21.201105,2.09,7.08,0.06,189.76,10009.6,19.0,16.0,18.2,56.6
Namibia,2020,3.52,32.820508,0.634,25.01567,52.99237,20.453484,1.77,9.19,0.08,164.1,9048.2,14.0,14.0,17.6,59.0
Namibia,2021,3.761,32.641718,0.616,25.01567,52.99237,19.917114,1.59,9.4,0.08,165.99,9137.8,19.0,13.0,17.1,59.5
Nauru,2017,,,0.664,,18.47495,14.998821,1.28,2.38,,,11746.6,,85.0,,
Nauru,2018,,,0.668,,18.47495,14.536911,1.36,2.39,,,12209.9,,93.0,,
Nauru,2019,,,0.68,,18.47495,14.119155,1.25,2.39,,,12000.6,,87.0,,
Nauru,2020,,,0.689,,18.47495,13.736217,1.04,2.39,,,11958.2,,38.0,,
Nauru,2021,,,0.693,,18.47495,13.459402,1.09,2.39,,,11947.4,,19.0,,
Nepal,2017,4.127,30.09271667,0.581,40.881,31.91333,17.48382,10.57,23.7,0.59,98.25,3495.5,22.0,188.0,5.4,80.3
Nepal,2018,4.184,29.92405867,0.588,40.881,31.91333,16.977846,6.5,22.33,0.59,108.27,3719.3,24.0,214.0,4.8,77.2
Nepal,2019,4.262,29.80548,0.598,41.0992,31.91333,16.40391,4.48,21.58,0.63,118.29,3922.1,28.0,208.0,4.7,75.0
Nepal,2020,4.403,29.649859,0.593,41.0992,31.91333,15.937047,4.37,22.18,0.6,98.01,3761.8,30.0,216.0,4.9,77.1
Nepal,2021,4.621,29.518132,0.591,41.0992,31.91333,15.541866,4.69,21.32,0.63,105.84,3831.9,28.0,198.0,5.2,76.4
Netherlands (Kingdom of the),2017,2.743,7.163504667,0.936,4.92909,13.09748,3.463944,0.26,1.86,26.7,21.24,55088.6,23.0,8.0,2.5,0.4
Netherlands (Kingdom of the),2018,2.821,7.380730233,0.939,5.36684,13.40179,3.3735607,0.28,1.65,18.42,22.88,56060.9,31.0,8.0,2.5,0.3
Netherlands (Kingdom of the),2019,2.932,7.2012544,0.941,5.23324,12.8829,3.4876232,0.3,1.64,19.73,21.58,56784.0,30.0,8.0,2.5,0.2
Netherlands (Kingdom of the),2020,3.0,7.339999133,0.938,4.84813,13.81266,3.3592074,0.37,1.6,20.08,22.27,54275.0,50.0,8.0,2.5,0.2
Netherlands (Kingdom of the),2021,2.963,6.6218787,0.941,4.98791,11.54338,3.3343461,0.37,1.55,25.12,23.3,56617.4,64.0,8.0,2.5,0.1
New Caledonia,2017,,,,,,,1.27,2.01,,,,8.0,25.0,7.3,
New Caledonia,2018,,,,,,,1.12,1.95,,,,12.0,21.0,7.0,
New Caledonia,2019,,,,,,,1.04,1.96,,,,14.0,20.0,6.5,
New Caledonia,2020,,,,,,,0.96,1.98,,,,17.0,19.0,5.9,
New Caledonia,2021,,,,,,,,1.96,,,,23.0,21.0,5.0,
North Macedonia,2017,3.318,12.58357817,0.789,10.53734,21.25574,5.9576545,4.36,7.87,0.86,98.65,15706.5,22.0,14.0,3.3,20.1
North Macedonia,2018,3.324,11.4443421,0.796,8.36817,21.37032,4.5945363,4.64,8.47,0.77,102.27,16145.6,22.0,13.0,3.1,17.7
North Macedonia,2019,3.464,10.75715277,0.787,8.36817,19.49758,4.4057083,4.57,8.13,0.65,92.9,16773.1,24.0,12.0,2.8,16.6
North Macedonia,2020,3.427,11.0474322,0.766,8.36817,20.48063,4.2934966,4.43,8.74,0.57,87.17,15779.7,28.0,11.0,2.9,17.5
North Macedonia,2021,3.616,11.08794873,0.764,8.36817,20.48063,4.4150462,4.15,7.62,0.45,84.54,16464.4,45.0,12.0,3.2,15.5
Vanuatu,2017,,,0.599,,22.80004,15.393341,2.21,21.37,,,3031.2,54.0,146.0,10.3,
Vanuatu,2018,,,0.604,,22.80004,15.126675,2.65,21.22,,,3045.0,48.0,124.0,10.4,
Vanuatu,2019,,,0.614,,22.80004,14.814759,2.04,21.12,,,3070.4,20.0,127.0,10.5,
Vanuatu,2020,,,0.612,,19.1498,14.496027,3.6,22.87,,,2836.8,20.0,120.0,10.8,
Vanuatu,2021,,,0.614,,19.1498,14.03025,,21.74,,,2783.0,27.0,140.0,9.8,
New Zealand,2017,2.671,8.034019233,0.935,1.83951,18.25302,4.0095277,0.76,5.91,4.39,28.82,42218.5,39.0,10.0,2.5,
New Zealand,2018,2.589,8.005686633,0.936,1.83951,18.09367,4.0838799,0.97,5.66,4.21,29.71,42862.1,43.0,10.0,2.5,
New Zealand,2019,2.722,7.981240333,0.937,1.83951,18.09367,4.010541,1.23,5.65,4.14,30.66,43110.4,21.0,10.0,2.5,
New Zealand,2020,2.817,8.714491067,0.935,4.06167,18.09367,3.9881332,0.33,5.74,4.2,30.54,41642.0,17.0,10.0,2.5,
New Zealand,2021,2.797,8.775411533,0.936,4.06167,18.09367,4.1708946,0.33,5.69,4.31,31.63,42915.5,17.0,10.0,2.5,
Nicaragua,2017,3.191,24.115536,0.656,25.79904,35.27897,11.268598,0.72,15.0,0.15,217.4,5915.4,31.0,17.0,18.3,32.3
Nicaragua,2018,3.245,23.99752367,0.658,25.79904,35.27897,10.914561,1.07,15.32,0.15,402.49,5636.6,33.0,17.0,17.6,34.4
Nicaragua,2019,3.279,23.89185367,0.661,25.79904,35.27897,10.597551,1.12,15.25,0.14,4430.56,5349.0,33.0,16.0,17.4,35.6
Nicaragua,2020,3.335,23.76260133,0.652,25.79904,35.27897,10.209794,1.33,15.56,0.14,4631.17,5181.7,29.0,16.0,17.5,37.0
Nicaragua,2021,3.54,23.64961957,0.665,25.79904,35.27897,9.8708487,1.21,15.48,0.16,5446.0,5638.7,15.0,16.0,17.9,34.2
Niger,2017,2.85,33.909536,0.377,34.96483,35.13536,31.628418,5.69,35.82,0.0,58.13,1156.0,28.0,43.0,11.7,92.9
Niger,2018,2.812,33.67569833,0.383,34.96483,35.13536,30.926905,4.5,37.66,0.0,56.09,1193.3,27.0,48.0,10.9,91.4
Niger,2019,2.792,34.18046033,0.39,34.96483,37.40003,30.176521,4.69,36.91,0.0,59.66,1217.4,39.0,53.0,11.0,90.4
Niger,2020,2.902,33.8986,0.391,34.96483,37.40003,29.33094,5.6,38.38,0.0,60.79,1214.5,27.0,65.0,11.9,90.9
Niger,2021,3.155,33.69931,0.389,34.96483,37.40003,28.73307,4.08,36.48,0.0,63.32,1186.6,30.0,68.0,14.2,92.0
Nigeria,2017,3.565,33.03249467,0.528,38.09476,19.0779,41.924824,3.0,20.85,0.21,53.9,5120.0,36.0,14.0,9.6,90.2
Nigeria,2018,3.724,33.65774567,0.53,40.41507,19.0779,41.480267,3.05,21.2,0.22,63.34,5089.8,34.0,12.0,10.1,91.1
Nigeria,2019,3.87,33.32855433,0.537,40.41507,18.62546,40.945133,3.03,21.91,0.23,68.83,5076.4,6.0,10.0,10.6,91.8
Nigeria,2020,4.016,33.08382,0.539,40.41507,18.62546,40.21093,2.57,24.14,0.25,69.58,4865.1,6.0,11.0,12.4,93.1
Nigeria,2021,4.325,32.020997,0.542,37.83104,18.62546,39.606491,2.71,23.36,0.25,79.75,4922.6,12.0,14.0,14.2,93.5
Niue,2017,,,,,,,,,,,,,,,
Niue,2018,,,,,,,,,,,,,225.0,,
Niue,2019,,,,,,,,,,,,,191.0,,
Niue,2020,,,,,,,,,,,,,238.0,,
Niue,2021,,,,,,,,,,,,,376.0,,
Norway,2017,3.325,5.946210867,0.959,2.14777,12.90365,2.7872126,1.18,1.98,0.39,101.34,64050.8,69.0,5.0,2.5,0.6
Norway,2018,3.432,5.994170133,0.96,2.3289,12.90365,2.7499604,1.06,1.86,0.37,108.76,64341.3,65.0,5.0,2.5,0.4
Norway,2019,3.479,5.901259933,0.961,2.3289,12.65436,2.7205198,1.17,1.84,0.37,99.24,64385.0,44.0,5.0,2.5,0.4
Norway,2020,3.488,5.910691467,0.963,2.3289,12.90659,2.4965844,0.77,1.81,0.36,89.24,63548.0,46.0,6.0,2.5,0.5
Norway,2021,3.361,6.3802415,0.964,2.3289,14.27021,2.5416145,1.1,1.61,0.34,125.65,65662.2,58.0,5.0,2.5,0.3
Pakistan,2017,3.408,34.14050933,0.534,43.52795,29.57144,29.322138,3.97,21.96,0.33,38.26,4891.7,21.0,26.0,11.5,81.0
Pakistan,2018,3.395,33.95363167,0.535,43.52795,29.57144,28.761505,3.13,21.65,0.34,42.83,5113.4,26.0,27.0,10.8,79.8
Pakistan,2019,3.46,33.28677,0.537,43.52795,28.15556,28.1768,2.83,20.68,0.33,46.11,5157.5,15.0,25.0,11.0,81.4
Pakistan,2020,3.685,33.04196733,0.536,43.52795,28.15556,27.442392,0.98,21.85,0.36,42.24,5004.4,23.0,26.0,13.1,83.5
Pakistan,2021,3.893,32.85966,0.537,43.52795,28.15556,26.89547,2.99,22.67,0.4,45.06,5232.1,22.0,28.0,16.0,82.8
Panama,2017,4.225,20.74362233,0.814,12.1523,38.55318,11.525387,1.54,2.38,0.32,2671.08,30526.4,59.0,14.0,7.0,17.5
Panama,2018,4.268,20.46368133,0.817,11.37224,38.58834,11.430464,1.96,2.25,0.31,2782.3,31125.6,37.0,16.0,6.1,15.5
Panama,2019,4.382,20.46662333,0.82,11.07242,38.85834,11.46911,2.15,2.19,0.31,2871.54,31543.6,56.0,17.0,5.2,15.2
Panama,2020,4.476,20.35749067,0.809,11.07242,38.85834,11.141712,2.59,2.77,0.32,1841.9,25510.3,66.0,18.0,4.7,18.9
Panama,2021,4.687,19.971338,0.813,10.17309,38.8731,10.867824,2.4,2.6,0.35,2507.0,29037.9,61.0,17.0,4.9,17.0
Czechia,2017,2.899,5.082255067,0.896,1.37836,10.54926,3.3191452,3.07,2.06,1.51,60.99,38824.9,71.0,4.0,2.5,0.2
Czechia,2018,2.921,4.8779968,0.893,1.38942,9.967374,3.2771964,1.25,1.94,1.33,66.62,39941.3,69.0,4.0,2.5,0.1
Czechia,2019,3.025,4.893645867,0.896,1.36925,10.03763,3.2740576,1.41,1.86,1.48,74.42,40989.7,59.0,4.0,2.5,0.2
Czechia,2020,3.003,4.849324967,0.891,1.27798,10.18033,3.0896649,2.69,1.96,1.57,78.7,38640.0,63.0,4.0,2.5,0.1
Czechia,2021,2.985,5.160741567,0.891,1.27135,11.09835,3.1125247,2.6,1.85,1.62,81.98,40741.0,18.0,4.0,2.5,0.1
Papua New Guinea,2017,,28.53749,0.553,35.65204,27.1712,22.78923,1.2,17.65,,50.05,3966.9,20.0,10.0,22.9,
Papua New Guinea,2018,,28.41281833,0.556,35.65204,27.1712,22.415215,1.14,16.97,,50.72,3864.9,20.0,9.0,23.0,
Papua New Guinea,2019,,28.244999,0.562,35.65204,27.1712,21.911757,1.26,16.98,,52.66,3947.9,22.0,7.0,23.4,
Papua New Guinea,2020,,28.09837267,0.567,35.65204,27.1712,21.471878,3.13,18.76,,45.64,3741.6,9.0,7.0,23.1,
Papua New Guinea,2021,,27.90008533,0.564,35.65204,27.1712,20.877016,0.87,19.35,,47.79,3677.5,19.0,7.0,23.1,
Paraguay,2017,3.43,20.813031,0.739,12.6286,37.14041,12.670083,1.98,10.18,0.16,66.97,13604.2,52.0,8.0,2.7,19.9
Paraguay,2018,3.511,19.79178767,0.742,12.9548,34.12552,12.295043,1.66,9.95,0.17,67.05,13848.5,56.0,9.0,2.8,18.3
Paraguay,2019,3.519,19.80901467,0.746,13.3225,34.09647,12.008074,1.56,9.67,0.16,66.96,13609.7,43.0,9.0,2.9,17.7
Paraguay,2020,3.543,18.81611,0.742,12.4314,32.28559,11.73134,1.56,10.73,0.18,68.34,13317.3,17.0,9.0,3.3,20.3
Paraguay,2021,3.867,18.39401267,0.73,12.4314,31.38347,11.367168,1.57,10.41,0.18,77.96,13687.7,12.0,9.0,3.5,20.4
Peru,2017,3.084,21.46525887,0.765,20.9313,33.9642,9.5002766,1.8,6.78,0.27,18.82,12442.7,14.0,9.0,6.1,26.6
Peru,2018,3.062,20.75939327,0.77,20.5234,32.56746,9.1873198,1.89,6.89,0.27,17.94,12696.2,19.0,8.0,6.3,23.5
Peru,2019,3.098,20.1016684,0.774,20.3617,31.01357,8.9297352,1.79,6.85,0.28,17.05,12735.2,19.0,8.0,5.9,21.4
Peru,2020,3.133,21.90168263,0.758,20.3617,36.77572,8.5676279,1.71,7.7,0.28,14.92,11176.9,18.0,8.0,6.2,34.2
Peru,2021,3.334,19.87220973,0.755,20.3617,30.61651,8.6384192,1.72,6.97,0.29,20.08,12514.7,22.0,8.0,6.5,25.7
Philippines,2017,3.843,17.86163067,0.7,10.0958,27.88749,15.601602,3.8,10.18,0.19,5.97,8001.8,24.0,12.0,7.8,70.1
Philippines,2018,3.994,16.89968967,0.706,10.0958,25.258,15.345269,2.93,9.65,0.19,6.35,8365.7,30.0,13.0,6.4,70.0
Philippines,2019,4.054,16.81175667,0.714,10.0958,25.258,15.08147,2.45,8.82,0.18,10.91,8731.9,41.0,14.0,5.4,68.4
Philippines,2020,4.118,16.68490967,0.705,10.0958,25.258,14.700929,2.6,10.19,0.19,8.43,7773.3,42.0,15.0,5.0,74.2
Philippines,2021,4.364,16.01073833,0.692,10.0958,23.55633,14.380085,2.43,10.07,0.2,8.09,8094.7,31.0,16.0,5.1,74.0
Poland,2017,2.909,8.160330933,0.874,5.20938,14.81767,4.4539428,1.05,2.88,0.23,18.15,29958.1,33.0,6.0,2.5,1.0
Poland,2018,2.986,8.270411267,0.876,4.93736,15.52555,4.3483238,1.18,2.33,0.1,20.91,31739.3,35.0,6.0,2.5,1.5
Poland,2019,3.162,8.444264367,0.88,4.85483,16.17126,4.3067031,1.13,2.32,0.11,22.12,33159.7,44.0,6.0,2.5,1.1
Poland,2020,3.21,9.274398933,0.874,4.45925,19.26413,4.0998168,1.17,2.57,0.11,23.5,32546.8,45.0,6.0,2.5,1.3
Poland,2021,3.155,9.344057667,0.876,4.73404,19.37175,3.926383,0.95,2.22,0.11,22.91,34915.5,25.0,6.0,2.5,0.5
Portugal,2017,2.513,12.78973747,0.857,15.7758,19.37886,3.2145524,0.58,2.1,0.52,18.58,33044.7,27.0,13.0,2.5,1.1
Portugal,2018,2.596,12.09391587,0.858,14.9652,17.7302,3.5863476,0.63,2.04,0.52,19.16,34040.7,26.0,13.0,2.5,1.1
Portugal,2019,2.673,11.81246797,0.864,14.6274,17.49601,3.3139939,0.67,2.09,0.54,19.36,34945.7,29.0,13.0,2.5,0.5
Portugal,2020,2.642,10.9438303,0.861,13.0528,16.7187,3.0599909,0.6,2.17,0.52,18.32,32011.3,25.0,14.0,2.5,1.4
Portugal,2021,2.651,11.56707643,0.865,12.4271,19.0791,3.1950293,0.62,2.19,0.55,19.81,33674.5,24.0,14.0,2.5,1.2
Guinea-Bissau,2017,3.164,42.90918967,0.479,41.91002,54.40864,32.408909,3.37,49.16,0.15,11.86,1872.3,25.0,46.0,34.0,84.4
Guinea-Bissau,2018,3.254,42.74561567,0.48,42.08704,54.40864,31.741167,7.76,32.38,0.1,12.27,1851.9,44.0,45.0,32.9,84.9
Guinea-Bissau,2019,3.335,36.151815,0.488,42.08704,35.31297,31.055435,5.36,32.05,0.1,14.01,1890.5,51.0,49.0,33.1,82.9
Guinea-Bissau,2020,3.434,35.84962567,0.482,42.08704,35.31297,30.148867,5.77,31.64,0.1,13.94,1803.6,39.0,57.0,35.3,83.9
Guinea-Bissau,2021,3.694,35.63947767,0.482,42.08704,35.31297,29.518423,2.71,32.03,0.11,14.41,1831.4,22.0,62.0,36.8,84.6
Timor-Leste,2017,,27.689525,0.614,44.91179,16.07557,22.081215,1.13,16.79,0.07,123.13,3138.4,17.0,360.0,27.1,
Timor-Leste,2018,,27.521937,0.616,44.91179,16.07557,21.578451,11.27,17.44,0.07,128.17,3070.8,12.0,360.0,26.1,
Timor-Leste,2019,,27.36609133,0.627,44.91179,16.07557,21.110914,5.82,13.97,0.07,285.66,3737.8,16.0,189.0,25.0,
Timor-Leste,2020,,27.17170533,0.633,44.91179,16.07557,20.527756,1.3,15.44,0.09,265.71,4856.5,16.0,104.0,23.8,
Timor-Leste,2021,,27.071947,0.574,44.91179,16.07557,20.228481,0.98,15.77,0.09,256.11,5032.4,16.0,48.0,23.7,
Puerto Rico,2017,,,,,,,0.63,0.82,2.55,20.17,34363.8,,,,
Puerto Rico,2018,,,,,,,0.46,0.71,2.11,19.52,34223.1,,,,
Puerto Rico,2019,,,,,,,0.53,0.68,2.06,19.85,34792.7,,,,
Puerto Rico,2020,,,,,,,0.33,0.66,1.91,19.41,32387.2,,,,
Puerto Rico,2021,,,,,,,0.27,0.67,1.93,19.17,32632.9,,,,
Eritrea,2017,,,0.472,,,22.338812,,17.46,0.02,582.64,,,25.0,,
Eritrea,2018,,,0.482,,,21.796078,,17.63,0.02,663.05,,,25.0,,
Eritrea,2019,,,0.487,,,21.362453,,17.67,0.02,690.1,,,23.0,,
Eritrea,2020,,,0.49,,,20.838219,,17.59,0.02,659.29,,,22.0,,
Eritrea,2021,,,0.49,,,20.265079,,17.63,0.02,674.98,,,24.0,,
Qatar,2017,2.375,,0.862,11.225,,4.6207581,0.0,0.21,1.53,2681.81,92177.6,,4.0,,
Qatar,2018,2.426,,0.866,11.225,,4.4152975,0.0,0.22,1.17,2783.15,91461.6,,4.0,,
Qatar,2019,2.484,,0.869,11.225,,4.2252913,0.01,0.26,1.38,2139.55,90840.4,,4.0,,
Qatar,2020,2.577,,0.863,11.225,,4.0121675,0.0,0.34,1.7,2118.36,89019.1,,4.0,,
Qatar,2021,2.708,,0.864,11.225,,3.8721819,,0.3,1.57,2408.01,92862.4,,4.0,,
Palau,2017,,19.37188933,0.786,3.1266,40.91769,14.071378,0.53,3.53,,,17594.7,,,,
Palau,2018,,19.25333433,0.788,3.1266,40.91769,13.715713,0.62,3.45,,,17587.1,,,,
Palau,2019,,19.129974,0.792,3.1266,40.91769,13.345632,0.6,3.43,,,17605.5,,,,
Palau,2020,,18.992042,0.794,3.1266,40.91769,12.931836,,3.48,,,15952.3,,,,
Palau,2021,,18.839629,0.802,3.1266,40.91769,12.474597,,3.82,,,13785.4,,,,
Zimbabwe,2017,2.2,29.18586967,0.552,16.80576,45.3445,25.407349,,7.25,0.04,64.49,2331.8,60.0,25.0,35.1,67.8
Zimbabwe,2018,,28.94229667,0.564,16.80576,45.3445,24.67663,,7.32,0.04,66.39,2399.6,53.0,20.0,36.3,
Zimbabwe,2019,,30.721568,0.56,14.60503,52.88754,24.672134,,9.82,0.04,73.72,2203.4,22.0,13.0,38.2,
Zimbabwe,2020,,30.55800033,0.554,14.60503,52.88754,24.181431,,8.77,0.03,71.97,1990.3,20.0,14.0,38.9,
Zimbabwe,2021,,30.51035967,0.549,14.60503,52.88754,24.038509,,8.85,0.04,67.38,2115.1,21.0,15.0,39.1,
Romania,2017,2.921,10.96895957,0.823,5.3222,21.36686,6.2178187,2.04,4.44,0.28,12.11,26943.3,88.0,9.0,2.5,11.9
Romania,2018,2.97,11.43952333,0.829,5.33215,23.3755,5.61092,1.86,4.56,0.34,13.78,28736.1,76.0,9.0,2.5,7.2
Romania,2019,3.133,11.03241713,0.834,5.16972,22.73125,5.1962814,1.64,4.42,0.32,12.57,30001.0,53.0,9.0,2.5,8.8
Romania,2020,3.207,10.78717837,0.828,5.43438,21.95496,4.9721951,2.08,4.18,0.35,12.09,29057.3,39.0,10.0,2.5,8.4
Romania,2021,3.253,11.1439595,0.825,5.73085,22.80499,4.8960385,1.65,4.35,0.26,12.36,30771.4,28.0,11.0,2.5,7.2
Rwanda,2017,2.609,31.66308967,0.52,29.25386,44.334,21.401409,3.03,26.35,0.32,128.89,1935.0,24.0,53.0,31.5,87.0
Rwanda,2018,2.483,31.55562667,0.522,29.25386,44.334,21.07902,3.75,24.62,0.34,150.84,2050.4,37.0,52.0,31.4,83.9
Rwanda,2019,2.537,30.77323433,0.531,27.35907,44.334,20.626633,5.07,23.55,0.37,193.25,2191.4,33.0,48.0,31.8,81.9
Rwanda,2020,2.698,30.59430833,0.535,27.35907,44.334,20.089855,3.67,26.63,0.43,184.21,2067.6,24.0,39.0,32.7,84.6
Rwanda,2021,2.718,30.36148167,0.539,27.35907,44.334,19.391375,3.58,24.06,0.46,226.3,2239.0,19.0,41.0,32.4,82.0
Russian Federation,2017,3.149,9.1357963,0.827,2.20717,19.64624,5.5539789,1.33,3.55,0.06,13.76,25926.4,28.0,7.0,2.5,3.3
Russian Federation,2018,3.197,8.610607633,0.836,2.07571,18.52894,5.2271729,1.34,3.39,0.05,14.5,26656.4,19.0,6.0,2.5,2.9
Russian Federation,2019,3.264,8.4864556,0.839,2.03646,18.34628,5.0766268,1.25,3.53,0.05,14.66,27254.6,18.0,6.0,2.5,2.5
Russian Federation,2020,3.42,8.743467167,0.826,2.03646,18.67459,5.5193515,1.06,4.0,0.06,13.35,26583.8,12.0,6.0,2.5,2.8
Russian Federation,2021,3.678,8.752236367,0.818,2.03646,18.67459,5.5456591,1.21,3.8,0.06,15.51,27960.1,21.0,6.0,2.5,2.6
Saint Kitts and Nevis,2017,2.998,,0.836,,,7.4718304,2.32,0.9,0.39,,29333.4,,127.0,,
Saint Kitts and Nevis,2018,3.179,,0.835,,,8.310339,2.11,0.91,0.4,,29950.5,,120.0,,
Saint Kitts and Nevis,2019,3.31,,0.838,,,8.1519346,2.11,0.89,0.41,,31194.7,,95.0,,
Saint Kitts and Nevis,2020,3.405,,0.832,,,8.0545263,3.89,1.11,0.44,,26700.7,,76.0,,
Saint Kitts and Nevis,2021,3.526,,0.832,,,7.9585185,2.08,1.42,0.55,,26485.8,,69.0,,
Saint Lucia,2017,3.263,25.2987702,0.742,26.8099,39.15866,9.9277506,2.73,1.65,0.0,,15247.5,,97.0,,20.9
Saint Lucia,2018,3.4,25.16556257,0.744,26.8099,39.15866,9.5281277,2.1,1.79,0.0,,15622.8,,117.0,,20.6
Saint Lucia,2019,3.517,24.51533257,0.733,25.2268,39.15866,9.1605377,2.22,2.11,0.0,,15460.8,,132.0,,21.2
Saint Lucia,2020,3.595,24.53238553,0.724,25.2268,39.15866,9.2116966,2.58,2.24,0.0,,11651.2,,157.0,,31.6
Saint Lucia,2021,3.673,24.55138623,0.717,25.2268,39.15866,9.2686987,2.0,1.88,0.0,,13046.0,,314.0,,27.2
Saint Vincent and the Grenadines,2017,4.131,,0.789,6.0822,,9.8568726,2.18,6.74,,47770.7,13633.0,14.0,192.0,4.3,
Saint Vincent and the Grenadines,2018,4.232,,0.793,6.0822,,9.5853491,2.19,7.11,,48610.6,14084.9,38.0,193.0,3.6,
Saint Vincent and the Grenadines,2019,4.293,,0.789,6.0822,,9.362134,2.0,7.01,,44143.0,14190.0,51.0,210.0,3.2,
Saint Vincent and the Grenadines,2020,4.454,,0.785,6.0822,,9.0025597,2.52,8.57,,39406.9,13473.6,46.0,182.0,3.3,
Saint Vincent and the Grenadines,2021,4.697,,0.773,6.0822,,9.1209087,,6.53,,41884.7,13695.0,56.0,165.0,3.6,
Sao Tome and Principe,2017,3.288,24.285255,0.604,18.30533,42.35793,12.192505,4.57,10.88,0.3,80.0,3934.9,23.0,310.0,15.8,76.6
Sao Tome and Principe,2018,3.394,24.10918867,0.607,18.30533,42.35793,11.664306,7.74,11.12,0.32,70.87,3987.4,21.0,273.0,15.3,76.3
Sao Tome and Principe,2019,3.503,24.085418,0.608,18.69702,42.35793,11.201304,4.2,12.29,0.36,68.7,4013.7,21.0,282.0,15.3,76.7
Sao Tome and Principe,2020,3.634,23.91159367,0.609,18.69702,42.35793,10.679831,3.36,13.99,0.42,70.13,4058.7,19.0,300.0,14.9,77.3
Sao Tome and Principe,2021,3.869,23.80778733,0.609,18.69702,42.35793,10.368412,3.74,12.47,0.38,73.17,4052.1,7.0,310.0,13.5,78.2
Saudi Arabia,2017,3.441,,0.849,18.1239,,5.8758101,0.54,2.53,0.87,292.33,45795.5,82.0,10.0,4.4,
Saudi Arabia,2018,3.663,,0.856,18.1239,,5.7494121,0.94,2.14,0.68,235.24,45840.8,71.0,8.0,4.5,
Saudi Arabia,2019,3.888,,0.862,18.1239,,5.5807204,0.66,2.2,0.7,221.24,44955.0,28.0,7.0,4.7,
Saudi Arabia,2020,4.148,,0.861,12.5893,,5.2820678,0.79,2.54,0.78,179.18,42891.7,37.0,7.0,4.6,
Saudi Arabia,2021,4.441,,0.867,12.5893,,5.1039357,,2.31,0.73,212.15,44339.3,40.0,8.0,4.3,
Senegal,2017,2.19,36.66541533,0.511,45.98846,43.42511,20.582676,2.73,14.98,0.08,2490.32,3259.2,33.0,50.0,8.3,53.5
Senegal,2018,2.25,36.55319533,0.515,46.36412,43.42511,19.870356,3.45,14.99,0.07,3304.86,3368.9,20.0,48.0,7.3,48.0
Senegal,2019,2.278,35.208939,0.514,47.1353,39.28387,19.207647,3.92,14.9,0.07,3430.9,3430.5,20.0,44.0,6.7,45.9
Senegal,2020,2.33,34.973967,0.514,47.1353,39.28387,18.502731,3.72,16.21,0.08,3405.49,3383.9,19.0,42.0,6.3,46.2
Senegal,2021,2.443,34.84911333,0.512,47.1353,39.28387,18.12817,4.31,15.32,0.08,3802.11,3495.4,27.0,40.0,5.9,45.0
Seychelles,2017,4.01,,0.798,,30.57528,9.2686834,1.68,2.83,4.5,39.14,28116.7,49.0,31.0,4.7,9.1
Seychelles,2018,3.959,,0.804,,30.57528,9.1566477,2.14,2.68,4.44,41.94,28740.5,71.0,29.0,4.3,7.8
Seychelles,2019,3.948,10.74196293,0.808,6.65648,16.5622,9.0072088,0.51,2.71,4.7,42.7,29369.5,54.0,27.0,4.0,7.2
Seychelles,2020,3.784,10.9661527,0.799,6.65648,16.5622,9.6797781,0.7,2.71,4.28,46.75,26879.8,41.0,30.0,4.0,7.5
Seychelles,2021,4.131,10.88844573,0.795,6.65648,16.5622,9.4466572,4.01,2.88,4.67,39.56,28760.5,23.0,34.0,3.5,7.3
Sierra Leone,2017,2.842,40.281903,0.448,46.92677,34.92848,38.990459,1.71,60.29,3.59,4.17,1593.5,73.0,61.0,24.2,84.2
Sierra Leone,2018,2.952,40.192237,0.454,46.92677,35.92492,37.725021,0.98,58.93,3.63,4.46,1610.2,56.0,57.0,25.7,84.2
Sierra Leone,2019,2.847,40.10071033,0.457,47.50289,35.92492,36.874321,1.2,58.15,3.77,4.91,1655.7,40.0,59.0,26.8,81.3
Sierra Leone,2020,2.893,39.771933,0.453,47.50289,35.92492,35.887989,1.52,59.49,3.78,4.5,1586.2,43.0,70.0,27.5,82.5
Sierra Leone,2021,3.167,39.51504,0.456,47.50289,35.92492,35.11731,1.3,57.45,3.8,5.33,1614.7,23.0,72.0,27.3,83.5
